,Indicator,Year,Geography,Pop,sqmi,PopDenEST,FIPS,Cases,Rate per 100000,Abst
4,Chlamydia,2019,Alabama,"4,903,185","52,420.07",93.53640695,1,31228,636.9,0
9,Chlamydia,2019,Alaska,"731,545","268,596.46",2.723583922,2,6254,854.9,0
14,Chlamydia,2019,Arizona,"7,278,717","113,990.30",63.85382791,4,43058,591.6,1
19,Chlamydia,2019,Arkansas,"3,017,804","53,178.55",56.74851984,5,17196,569.8,1
24,Chlamydia,2019,California,"39,512,223","163,694.74",241.3774749,6,236719,599.1,0
29,Chlamydia,2019,Colorado,"5,758,736","104,093.67",55.32263393,8,29821,517.8,0
34,Chlamydia,2019,Connecticut,"3,565,287","5,543.41",643.1577314,9,15290,428.9,0
39,Chlamydia,2019,Delaware,"973,764","2,488.72",391.2710148,10,5864,602.2,0
44,Chlamydia,2019,District of Columbia,"705,749",68.34,10327.02663,11,9327,1321.6,0
49,Chlamydia,2019,Florida,"21,477,737","65,757.70",326.6193465,12,110794,515.9,1
54,Chlamydia,2019,Georgia,"10,617,423","59,425.15",178.6688464,13,67720,637.8,1
59,Chlamydia,2019,Hawaii,"1,415,872","10,931.72",129.5195998,15,8093,571.6,0
64,Chlamydia,2019,Idaho,"1,787,065","83,568.95",21.38431798,16,6863,384.0,0
69,Chlamydia,2019,Illinois,"12,671,821","57,913.55",218.8058062,17,81012,639.3,0
74,Chlamydia,2019,Indiana,"6,732,219","36,419.55",184.8517898,18,35430,526.3,1
79,Chlamydia,2019,Iowa,"3,155,070","56,272.81",56.06739738,19,16044,508.5,0
84,Chlamydia,2019,Kansas,"2,913,314","82,278.36",35.40802223,20,15286,524.7,0
89,Chlamydia,2019,Kentucky,"4,467,673","40,407.80",110.5646187,21,20911,468.1,1
94,Chlamydia,2019,Louisiana,"4,648,794","52,378.13",88.75448589,22,36131,777.2,1
99,Chlamydia,2019,Maine,"1,344,212","35,379.74",37.99383489,23,3989,296.8,0
104,Chlamydia,2019,Maryland,"6,045,680","12,405.93",487.3217889,24,37779,624.9,0
109,Chlamydia,2019,Massachusetts,"6,892,503","10,554.39",653.0460785,25,31622,458.8,0
114,Chlamydia,2019,Michigan,"9,986,857","96,713.51",103.2622743,26,50104,501.7,1
119,Chlamydia,2019,Minnesota,"5,639,632","86,935.83",64.87120443,27,24470,433.9,1
124,Chlamydia,2019,Mississippi,"2,976,149","48,431.78",61.45033282,28,25303,850.2,1
129,Chlamydia,2019,Missouri,"6,137,428","69,706.99",88.04609122,29,34416,560.8,1
134,Chlamydia,2019,Montana,"1,068,778","147,039.71",7.268635119,30,4753,444.7,1
139,Chlamydia,2019,Nebraska,"1,934,408","77,347.81",25.00921487,31,9291,480.3,0
144,Chlamydia,2019,Nevada,"3,080,156","110,571.82",27.8566094,32,17827,578.8,0
149,Chlamydia,2019,New Hampshire,"1,359,711","9,349.16",145.4367023,33,3577,263.1,0
154,Chlamydia,2019,New Jersey,"8,882,190","8,722.58",1018.298485,34,37591,423.2,0
159,Chlamydia,2019,New Mexico,"2,096,829","121,590.30",17.24503517,35,14283,681.2,0
164,Chlamydia,2019,New York,"19,453,561","54,554.98",356.5863465,36,124622,640.6,0
169,Chlamydia,2019,North Carolina,"10,488,084","53,819.16",194.8763972,37,70257,669.9,0
174,Chlamydia,2019,North Dakota,"762,062","70,698.32",10.77906802,38,3880,509.1,1
179,Chlamydia,2019,Ohio,"11,689,100","44,825.58",260.7685165,39,65393,559.4,1
184,Chlamydia,2019,Oklahoma,"3,956,971","69,898.87",56.60994234,40,23518,594.3,1
189,Chlamydia,2019,Oregon,"4,217,737","98,378.54",42.87253094,41,19279,457.1,0
194,Chlamydia,2019,Pennsylvania,"12,801,989","46,054.34",277.9757348,42,61694,481.9,0
199,Chlamydia,2019,Rhode Island,"1,059,361","5,324.84",198.9470106,44,5718,539.8,0
204,Chlamydia,2019,South Carolina,"5,148,714","1,544.89",3332.738253,45,35950,698.2,0
209,Chlamydia,2019,South Dakota,"884,659","32,020.49",27.62790326,46,4547,514.0,0
214,Chlamydia,2019,Tennessee,"6,829,174","77,115.68",88.55752812,47,41089,601.7,1
219,Chlamydia,2019,Texas,"28,995,881","42,144.25",688.0151148,48,129075,445.1,1
224,Chlamydia,2019,Utah,"3,205,958","665,384.04",4.818206941,49,11075,345.5,1
229,Chlamydia,2019,Vermont,"623,989","9,616.36",64.88827373,50,1718,275.3,0
234,Chlamydia,2019,Virginia,"8,535,519","42,774.93",199.544897,51,48169,564.3,0
239,Chlamydia,2019,Washington,"7,614,893","71,297.95",106.8038141,53,37795,496.3,0
244,Chlamydia,2019,West Virginia,"1,792,147","24,230.04",73.96384818,54,5609,313.0,0
249,Chlamydia,2019,Wisconsin,"5,822,434","65,496.38",88.89703523,55,29080,499.4,1
254,Chlamydia,2019,Wyoming,"578,759","97,813.01",5.916994069,56,2189,378.2,0
259,Chlamydia,2018,Alabama,"4,887,681","52,420.07",93.24064237,1,28437,581.8,0
264,Chlamydia,2018,Alaska,"735,139","268,596.46",2.73696459,2,6159,837.8,0
269,Chlamydia,2018,Arizona,"7,158,024","113,990.30",62.7950273,4,40807,570.1,1
274,Chlamydia,2018,Arkansas,"3,009,733","53,178.55",56.59674812,5,17663,586.9,1
279,Chlamydia,2018,California,"39,461,588","163,694.74",241.0681492,6,231415,586.4,0
284,Chlamydia,2018,Colorado,"5,691,287","104,093.67",54.67466946,8,29124,511.7,0
289,Chlamydia,2018,Connecticut,"3,571,520","5,543.41",644.2821296,9,16732,468.5,0
294,Chlamydia,2018,Delaware,"965,479","2,488.72",387.9419943,10,6038,625.4,0
299,Chlamydia,2018,District of Columbia,"701,547",68.34,10265.53995,11,9014,1284.9,0
304,Chlamydia,2018,Florida,"21,244,317","65,757.70",323.0696481,12,104758,493.1,1
309,Chlamydia,2018,Georgia,"10,511,131","59,425.15",176.8801762,13,65936,627.3,1
314,Chlamydia,2018,Hawaii,"1,420,593","10,931.72",129.9514623,15,7735,544.5,0
319,Chlamydia,2018,Idaho,"1,750,536","83,568.95",20.94720587,16,6572,375.4,0
324,Chlamydia,2018,Illinois,"12,723,071","57,913.55",219.6907459,17,77325,607.8,0
329,Chlamydia,2018,Indiana,"6,695,497","36,419.55",183.8434852,18,34926,521.6,1
334,Chlamydia,2018,Iowa,"3,148,618","56,272.81",55.95274165,19,14682,466.3,0
339,Chlamydia,2018,Kansas,"2,911,359","82,278.36",35.38426143,20,14231,488.8,0
344,Chlamydia,2018,Kentucky,"4,461,153","40,407.80",110.4032637,21,19440,435.8,1
349,Chlamydia,2018,Louisiana,"4,659,690","52,378.13",88.96251164,22,36293,778.9,1
354,Chlamydia,2018,Maine,"1,339,057","35,379.74",37.84813003,23,4345,324.5,0
359,Chlamydia,2018,Maryland,"6,035,802","12,405.93",486.5255567,24,35482,587.9,0
364,Chlamydia,2018,Massachusetts,"6,882,635","10,554.39",652.1111121,25,30460,442.6,0
369,Chlamydia,2018,Michigan,"9,984,072","96,713.51",103.2334779,26,50592,506.7,1
374,Chlamydia,2018,Minnesota,"5,606,249","86,935.83",64.48720855,27,23569,420.4,1
379,Chlamydia,2018,Mississippi,"2,981,020","48,431.78",61.55090728,28,22086,740.9,1
384,Chlamydia,2018,Missouri,"6,121,623","69,706.99",87.81935642,29,34728,567.3,1
389,Chlamydia,2018,Montana,"1,060,665","147,039.71",7.213459548,30,4917,463.6,1
394,Chlamydia,2018,Nebraska,"1,925,614","77,347.81",24.89552064,31,8026,416.8,0
399,Chlamydia,2018,Nevada,"3,027,341","110,571.82",27.37895605,32,17508,578.3,0
404,Chlamydia,2018,New Hampshire,"1,353,465","9,349.16",144.7686209,33,3734,275.9,0
409,Chlamydia,2018,New Jersey,"8,886,025","8,722.58",1018.738149,34,36514,410.9,0
414,Chlamydia,2018,New Mexico,"2,092,741","121,590.30",17.21141407,35,14000,669.0,0
419,Chlamydia,2018,New York,"19,530,351","54,554.98",357.9939173,36,119571,612.2,0
424,Chlamydia,2018,North Carolina,"10,381,615","53,819.16",192.898124,37,66553,641.1,0
429,Chlamydia,2018,North Dakota,"758,080","70,698.32",10.72274419,38,3525,465.0,1
434,Chlamydia,2018,Ohio,"11,676,341","44,825.58",260.48388,39,63220,541.4,1
439,Chlamydia,2018,Oklahoma,"3,940,235","69,898.87",56.37051071,40,21974,557.7,1
444,Chlamydia,2018,Oregon,"4,181,886","98,378.54",42.50811203,41,19224,459.7,0
449,Chlamydia,2018,Pennsylvania,"12,800,922","46,054.34",277.9525665,42,59340,463.6,0
454,Chlamydia,2018,Rhode Island,"1,058,287","5,324.84",198.7453144,44,5487,518.5,0
459,Chlamydia,2018,South Carolina,"5,084,156","1,544.89",3290.950165,45,33910,667.0,0
464,Chlamydia,2018,South Dakota,"878,698","32,020.49",27.44174121,46,4432,504.4,0
469,Chlamydia,2018,Tennessee,"6,771,631","77,115.68",87.81133746,47,38212,564.3,1
474,Chlamydia,2018,Texas,"28,628,666","42,144.25",679.3018265,48,146510,511.8,1
479,Chlamydia,2018,Utah,"3,153,550","665,384.04",4.739443405,49,10541,334.3,1
484,Chlamydia,2018,Vermont,"624,358","9,616.36",64.92664584,50,1712,274.2,0
489,Chlamydia,2018,Virginia,"8,501,286","42,774.93",198.7445918,51,42965,505.4,0
494,Chlamydia,2018,Washington,"7,523,869","71,297.95",105.5271435,53,34449,457.9,0
499,Chlamydia,2018,West Virginia,"1,804,291","24,230.04",74.46504422,54,3599,199.5,0
504,Chlamydia,2018,Wisconsin,"5,807,406","65,496.38",88.66758743,55,28027,482.6,1
509,Chlamydia,2018,Wyoming,"577,601","97,813.01",5.905155153,56,2169,375.5,0
514,Chlamydia,2017,Alabama,"4,874,486","52,420.07",92.98892581,1,29935,614.1,0
519,Chlamydia,2017,Alaska,"739,700","268,596.46",2.753945454,2,5934,802.2,0
524,Chlamydia,2017,Arizona,"7,044,008","113,990.30",61.79480184,4,39598,562.2,1
529,Chlamydia,2017,Arkansas,"3,001,345","53,178.55",56.43901535,5,17320,577.1,1
534,Chlamydia,2017,California,"39,358,497","163,694.74",240.4383733,6,218785,555.9,0
539,Chlamydia,2017,Colorado,"5,611,885","104,093.67",53.91187572,8,26995,481.0,0
544,Chlamydia,2017,Connecticut,"3,573,297","5,543.41",644.6026904,9,17750,496.7,0
549,Chlamydia,2017,Delaware,"956,823","2,488.72",384.4639011,10,5392,563.5,0
554,Chlamydia,2017,District of Columbia,"694,906",68.34,10168.36406,11,9107,1310.5,0
559,Chlamydia,2017,Florida,"20,963,613","65,757.70",318.8008857,12,100018,477.1,1
564,Chlamydia,2017,Georgia,"10,410,330","59,425.15",175.1839078,13,65104,625.4,1
569,Chlamydia,2017,Hawaii,"1,424,393","10,931.72",130.2990746,15,6850,480.9,0
574,Chlamydia,2017,Idaho,"1,717,715","83,568.95",20.55446431,16,6200,360.9,0
579,Chlamydia,2017,Illinois,"12,778,828","57,913.55",220.6535085,17,75518,591.0,0
584,Chlamydia,2017,Indiana,"6,658,078","36,419.55",182.8160425,18,34278,514.8,1
589,Chlamydia,2017,Iowa,"3,141,550","56,272.81",55.82713925,19,13893,442.2,0
594,Chlamydia,2017,Kansas,"2,908,718","82,278.36",35.35216307,20,13554,466.0,0
599,Chlamydia,2017,Kentucky,"4,452,268","40,407.80",110.1833804,21,19320,433.9,1
604,Chlamydia,2017,Louisiana,"4,670,560","52,378.13",89.17004101,22,34756,744.2,1
609,Chlamydia,2017,Maine,"1,334,612","35,379.74",37.72249316,23,4555,341.3,0
614,Chlamydia,2017,Maryland,"6,023,868","12,405.93",485.5635974,24,33416,554.7,0
619,Chlamydia,2017,Massachusetts,"6,859,789","10,554.39",649.9465151,25,29315,427.3,0
624,Chlamydia,2017,Michigan,"9,973,114","96,713.51",103.1201742,26,50595,507.3,1
629,Chlamydia,2017,Minnesota,"5,566,230","86,935.83",64.02688052,27,23539,422.9,1
634,Chlamydia,2017,Mississippi,"2,988,510","48,431.78",61.7055578,28,21149,707.7,1
639,Chlamydia,2017,Missouri,"6,106,670","69,706.99",87.60484422,29,32683,535.2,1
