Indicator,Year,Geography,FIPS,Cases,Rate per 100000,Abst
Primary and Secondary Syphilis,2019,Alabama,1,618,12.6,0
Primary and Secondary Syphilis,2018,Alabama,1,477,9.8,0
Primary and Secondary Syphilis,2017,Alabama,1,424,8.7,0
Primary and Secondary Syphilis,2016,Alabama,1,376,7.7,0
Primary and Secondary Syphilis,2015,Alabama,1,280,5.8,0
Gonorrhea,2019,Alabama,1,"14,492",295.6,0
Gonorrhea,2018,Alabama,1,"12,742",260.7,0
Gonorrhea,2017,Alabama,1,"11,948",245.1,0
Gonorrhea,2016,Alabama,1,"8,408",172.9,0
Gonorrhea,2015,Alabama,1,"7,196",148.3,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Alabama,1,540,11,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Alabama,1,447,9.1,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Alabama,1,425,8.7,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Alabama,1,293,6,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Alabama,1,177,3.6,0
Congenital Syphilis,2019,Alabama,1,15,25.6,0
Congenital Syphilis,2018,Alabama,1,7,12.1,0
Congenital Syphilis,2017,Alabama,1,6,10.2,0
Congenital Syphilis,2016,Alabama,1,4,6.8,0
Congenital Syphilis,2015,Alabama,1,3,5,0
Chlamydia,2019,Alabama,1,"31,228",636.9,0
Chlamydia,2018,Alabama,1,"28,437",581.8,0
Chlamydia,2017,Alabama,1,"29,935",614.1,0
Chlamydia,2016,Alabama,1,"26,901",553.1,0
Chlamydia,2015,Alabama,1,"26,359",543.2,0
Primary and Secondary Syphilis,2019,Alaska,2,129,17.6,0
Primary and Secondary Syphilis,2018,Alaska,2,55,7.5,0
Primary and Secondary Syphilis,2017,Alaska,2,13,1.8,0
Primary and Secondary Syphilis,2016,Alaska,2,8,1.1,0
Primary and Secondary Syphilis,2015,Alaska,2,8,1.1,0
Gonorrhea,2019,Alaska,2,"2,213",302.5,0
Gonorrhea,2018,Alaska,2,"2,247",305.7,0
Gonorrhea,2017,Alaska,2,"2,189",295.9,0
Gonorrhea,2016,Alaska,2,"1,454",196.1,0
Gonorrhea,2015,Alaska,2,"1,113",150.9,0
"Early Non-Primary, Non-Secondary Syphilis",2019,Alaska,2,78,10.7,0
"Early Non-Primary, Non-Secondary Syphilis",2018,Alaska,2,41,5.6,0
"Early Non-Primary, Non-Secondary Syphilis",2017,Alaska,2,9,1.2,0
"Early Non-Primary, Non-Secondary Syphilis",2016,Alaska,2,13,1.8,0
"Early Non-Primary, Non-Secondary Syphilis",2015,Alaska,2,13,1.8,0
Congenital Syphilis,2019,Alaska,2,0,0,0
Congenital Syphilis,2018,Alaska,2,1,9.9,0
Congenital Syphilis,2017,Alaska,2,0,0,0
Congenital Syphilis,2016,Alaska,2,0,0,0
Congenital Syphilis,2015,Alaska,2,0,0,0
Chlamydia,2019,Alaska,2,"6,254",854.9,0
Chlamydia,2018,Alaska,2,"6,159",837.8,0
Chlamydia,2017,Alaska,2,"5,934",802.2,0
Chlamydia,2016,Alaska,2,"5,698",768.5,0
Chlamydia,2015,Alaska,2,"5,660",767.5,0
Primary and Secondary Syphilis,2019,Arizona,4,"1,290",17.7,1
Primary and Secondary Syphilis,2018,Arizona,4,"1,047",14.6,1
Primary and Secondary Syphilis,2017,Arizona,4,943,13.4,1
